county,waterbody,station,deployment_range,sensor_type,sensor_serial_number,timestamp_utc,sensor_depth_at_low_tide_m,sensor_depth_measured_m,dissolved_oxygen_percent_saturation
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T12:00:00Z,5,5,100
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T12:30:00Z,5,5.5176380902050415,100.2610523844401
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T13:00:00Z,5,6,100.51763809020504
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T13:30:00Z,5,6.414213562373095,100.76536686473018
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T14:00:00Z,5,6.732050807568877,101
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T14:30:00Z,5,6.931851652578136,101.21752285801745
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T15:00:00Z,5,7,101.41421356237309
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T15:30:00Z,5,6.931851652578136,101.58670668058247
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T16:00:00Z,5,6.732050807568878,101.73205080756888
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T16:30:00Z,5,6.414213562373095,101.84775906502257
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T17:00:00Z,5,6.000000000000001,101.93185165257813
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T17:30:00Z,5,5.517638090205042,101.98288972274761
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T18:00:00Z,5,5,102
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T18:30:00Z,5,4.482361909794959,101.98288972274761
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T19:00:00Z,5,4.000000000000001,101.93185165257813
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T19:30:00Z,5,3.585786437626906,101.84775906502257
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T20:00:00Z,5,3.2679491924311233,101.73205080756888
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T20:30:00Z,5,3.0681483474218636,101.58670668058247
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T21:00:00Z,5,3,101.41421356237309
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T21:30:00Z,5,3.068148347421863,101.21752285801745
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T22:00:00Z,5,3.267949192431122,101
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T22:30:00Z,5,3.5857864376269046,100.76536686473018
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T23:00:00Z,5,3.999999999999999,100.51763809020504
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01T23:30:00Z,5,4.482361909794957,100.2610523844401
