county,waterbody,station,deployment_range,sensor_type,sensor_serial_number,timestamp_utc,sensor_depth_at_low_tide_m,sensor_depth_measured_m,dissolved_oxygen_percent_saturation,dissolved_oxygen_percent_saturation_rolling_sd,dissolve_oxygen_flag
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 12:00:00+00:00,5,5.0,100.0,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 12:30:00+00:00,5,5.5176380902050415,100.2610523844401,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 13:00:00+00:00,5,6.0,100.51763809020504,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 13:30:00+00:00,5,6.414213562373095,100.76536686473018,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 14:00:00+00:00,5,6.732050807568877,101.0,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 14:30:00+00:00,5,6.931851652578136,101.21752285801745,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 15:00:00+00:00,5,7.0,101.41421356237308,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 15:30:00+00:00,5,6.931851652578136,101.58670668058248,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 16:00:00+00:00,5,6.732050807568878,101.73205080756888,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 16:30:00+00:00,5,6.414213562373095,101.84775906502256,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 17:00:00+00:00,5,6.000000000000001,101.93185165257812,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 17:30:00+00:00,5,5.517638090205042,101.9828897227476,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 18:00:00+00:00,5,5.0,102.0,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 18:30:00+00:00,5,4.482361909794959,101.9828897227476,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 19:00:00+00:00,5,4.000000000000001,101.93185165257812,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 19:30:00+00:00,5,3.585786437626906,101.84775906502256,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 20:00:00+00:00,5,3.2679491924311237,101.73205080756888,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 20:30:00+00:00,5,3.068148347421864,101.58670668058248,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 21:00:00+00:00,5,3.0,101.41421356237308,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 21:30:00+00:00,5,3.068148347421863,101.21752285801745,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 22:00:00+00:00,5,3.267949192431122,101.0,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 22:30:00+00:00,5,3.5857864376269046,100.76536686473018,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 23:00:00+00:00,5,3.999999999999999,100.51763809020504,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-01 23:30:00+00:00,5,4.482361909794957,100.2610523844401,,9
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 00:00:00+00:00,5,4.999999999999999,100.0,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 00:30:00+00:00,5,5.517638090205041,99.7389476155599,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 01:00:00+00:00,5,5.999999999999998,99.48236190979496,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 01:30:00+00:00,5,6.414213562373093,99.23463313526982,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 02:00:00+00:00,5,6.732050807568877,99.0,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 02:30:00+00:00,5,6.931851652578136,98.78247714198255,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 03:00:00+00:00,5,7.0,98.58578643762692,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 03:30:00+00:00,5,6.931851652578137,98.41329331941752,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 04:00:00+00:00,5,6.732050807568879,98.26794919243112,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 04:30:00+00:00,5,6.414213562373097,98.15224093497744,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 05:00:00+00:00,5,6.000000000000003,98.06814834742188,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 05:30:00+00:00,5,5.517638090205045,98.0171102772524,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 06:00:00+00:00,5,5.000000000000001,98.0,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 06:30:00+00:00,5,4.482361909794959,98.0171102772524,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 07:00:00+00:00,5,4.000000000000002,98.06814834742188,1.429179202020987,1
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02 07:30:00+00:00,5,3.585786437626907,98.15224093497744,1.429179202020987,1
