,"MUN Glider Deployment: Nunkaysa, Pacific, 2012-08-18",Glider deployment #34 - otn200 2014-06-26 (delayed),"MUN Glider Deployment: Unit 048, Fortune Bay, 2012-03-05","MUN Glider Deployment: Scidaana, Pacific, 2012-08-18",Glider deployment #11 - otn200 2012-05-02 (delayed),"MUN Glider Deployment: Pearldiver, Labrador Sea, 2019-12-04","MUN Glider Deployment: Unit 473, Trinity Bay, 2016-08-16","MUN Glider Deployment: Pearldiver, Labrador Shelf, 2014-07-05",Glider deployment #71 - dal556 2017-04-25 (delayed),"MUN Glider Deployment: Unit 334, Labrador Sea, 2014-07-22","MUN Glider Deployment: Unit 473, Trinity Bay, 2018-09-05","MUN Glider Deployment: Unit 473, Labrador Shelf, 2014-07-05",Glider deployment #7 - otn200 2012-01-23 (delayed),"MUN Glider Deployment: Unit 472, Trinity Bay, 2015-09-30","MUN Glider Deployment: Unit 472, Trinity Bay, 2014-10-01","MUN Glider Deployment: Unit 473, Trinity Bay, 2014-10-01","MUN Glider Deployment: Unit 473, Labrador Sea, 2016-08-31","MUN Glider Deployment: Unit 334, Gulf of St. Lawrence, 2021-09-06",FORCE Meteorological Tower,"MUN Glider Deployment: Unit 049, Newfoundland Shelf, 2006-07-26","MUN Glider Deployment: Pearldiver, Gulf of St. Lawrence, 2019-08-08",Maritimes Region Historical Coastal Rosette Vertical Profiles,Maritimes Region Historical Arctic  Rosette Vertical Profiles,Glider deployment #31 - otn200 2014-04-03 (delayed),Glider deployment #59 - we04 2015-07-28 (delayed),Maritimes Region Barrow Strait Flow Observational Program Rosette Vertical Profiles,Glider deployment #16 - otn201 2012-11-27 (delayed),Glider deployment #69 - otn200 2016-11-02 (delayed),Glider deployment #32 - otn200 2014-04-30 (delayed),Newfoundland and Labrador Region Atlantic Zone Monitoring Program (AZMP) Rosette Vertical Profiles,Northern Shrimp Research Foundation (NSRF) CTD Profiles,Newfoundland and Labrador Region Multi-Species Survey Trawl-Mounted CTD Profiles,Glider deployment #45 - otn201 2015-05-08 (delayed),Glider deployment #58 - we10 2014-09-02 (delayed),Glider deployment #17 - otn200 2013-03-11 (delayed),Glider deployment #78 - dal556 2017-10-03 (delayed),Glider deployment #24 - otn200 2013-09-10 (delayed),Glider deployment test #129 - cabot 2021-05-13 (realtime),Glider deployment test #98 - cabot 2019-05-26 (delayed),Glider deployment #144 - qala1 2021-10-19 (realtime),Glider deployment #136 - scotia 2021-07-19 (realtime),Newfoundland and Labrador Region Bulk Unsorted CTD Profiles,Maritimes Region Barrow Strait Monitoring Program Moored Time Series Data,Maritimes Region Annual Ice Forecast Hydrographic Survey Gulf Of St. Lawrence Rosette Vertical Profiles,Maritimes Region Atlantic Zone Monitoring Program (AZMP) Rosette Vertical Profiles,"Coast of Bays seawater vertical and horizontal structure: Hydrographic structure, spatial variability and seasonality, 2009-2013",Maritimes Region Historical offshore and international missions Rosette Vertical Profiles,Maritimes Region Ecosystem Survey Rosette Vertical Profiles,Glider deployment #39 - otn200 2014-10-16 (delayed),Newfoundland and Labrador Region Historical Station 27 Hydrographic Data,Maritimes Region Atlantic Zone Off-Shelf Monitoring Program (AZOMP) Rosette Vertical Profiles,Maritimes Region Historical West Greenland monitoring program  Rosette Vertical Profiles,Atlantic Canada Microplastic Research Project (2017-2020),CMAR - St. Mary's Bay,CMAR - Chedabucto Bay,CMAR - Jordan Bay,Glider deployment #22 - otn201 2013-06-26 (delayed),Glider deployment #90 - otn200 2018-09-18 (realtime),Glider deployment #27 - otn200 2013-11-06 (delayed),Glider deployment #124 - capex638 2020-08-17 (delayed),Glider deployment test #156 - shad 2022-06-16 (delayed),Glider deployment #55 - otn200 2016-01-22 (delayed),Glider deployment test #112 - cabot 2020-06-18 (realtime),Glider deployment #119 - cabot 2020-09-19 (realtime),Glider deployment #135 - cabot 2021-07-06 (realtime),Glider deployment test #149 - fundy 2022-04-13 (delayed),Glider deployment #105 - Nemesis 2019-09-02 (realtime),Glider deployment #9 - otn200 2012-03-07 (delayed),Glider deployment #1 - otn200 2011-05-13 (delayed),Glider deployment #114 - cabot 2020-07-17 (realtime),Glider deployment #107 - scotia 2019-09-25 (realtime),Glider deployment #104 - bond 2019-08-28 (realtime),Glider deployment #4 - otn200 2011-07-26 (delayed),Glider deployment #83 - fundy 2018-05-17 (delayed),Wave and SST for Sable Island South SPOT 1461,Glider deployment #66 - dal556 2016-10-06 (delayed),Glider deployment #122 - fundy 2020-10-15 (delayed),Glider deployment #23 - otn201 2013-07-25 (delayed),Glider deployment test #132 - scotia 2021-06-09 (realtime),Glider deployment #60 - otn200 2016-04-05 (delayed),Glider deployment #51 - dal556 2015-09-14 (delayed),Glider deployment test #111 - fundy 2020-06-01 (delayed),Glider deployment #44 - otn201 2015-03-31 (delayed),Glider deployment test #130 - scotia 2021-05-13 (realtime),Glider deployment #30 - otn200 2014-02-18 (delayed),Glider deployment #14 - otn200 2012-07-11 (delayed),Glider deployment #134 - sambro 2021-07-05 (realtime),Glider deployment #75 - otn200 2017-08-02 (delayed),Glider deployment #94 - otn200 2018-11-01 (realtime),Glider deployment #77 - bond 2017-09-11 (delayed),Glider deployment #172 - qala2 2023-06-27 (realtime),Glider deployment #6 - otn201 2011-09-28 (delayed),Glider deployment #100 - scotia 2019-06-05 (realtime),Glider deployment #102 - bond 2019-07-24 (realtime),Glider deployment #85 - dal556 2018-06-10 (realtime),Glider deployment #120 - bond 2020-09-25 (realtime),Glider deployment test #123 - cabot 2020-11-04 (delayed),Glider deployment #53 - otn200 2015-10-27 (delayed),Glider deployment #12 - otn200 2012-05-24 (delayed),Glider deployment #8 - otn200 2012-02-09 (delayed),Glider deployment #13 - otn200 2012-06-12 (delayed),Glider deployment #48 - otn201 2015-07-30 (delayed),Glider deployment #178 - cabot 2023-08-30 (realtime),Glider deployment test #154 - sambro 2022-05-31 (realtime),Glider deployment #88 - otn200 2018-08-15 (realtime),Glider deployment #155 - cabot 2022-06-03 (realtime),Glider deployment #118 - otn200 2020-09-20 (realtime),Glider deployment #103 - dal556 2019-08-14 (realtime),Glider deployment #33 - otn200 2014-05-27 (delayed),Glider deployment #10 - otn201 2012-03-30 (delayed),Glider deployment #36 - otn201 2014-09-02 (delayed),Glider deployment #15 - otn201 2012-08-14 (delayed),Glider deployment #162 - shad 2022-09-08 (delayed),Glider deployment test #146 - peggy 2022-03-10 (delayed),Glider deployment #168 - shad 2023-06-01 (realtime),Glider deployment test #147 - qala2 2022-03-24 (realtime),Glider deployment #70 - otn200 2017-01-30 (delayed),Glider deployment #89 - fundy 2018-09-13 (delayed),Glider deployment test #110 - cabot 2020-06-01 (realtime),Glider deployment #167 - peggy 2023-04-17 (realtime),Glider deployment test #153 - cabot 2022-05-25 (delayed),Glider deployment test #127 - sambro 2021-04-19 (realtime),Glider deployment #38 - otn201 2014-10-06 (delayed),Glider deployment #95 - scotia 2018-11-13 (realtime),Glider deployment #63 - otn201 2016-07-24 (realtime),Glider deployment #3 - otn200 2011-07-05 (delayed),Glider deployment #87 - scotia 2018-07-20 (realtime),Glider deployment #84 - fundy 2018-06-09 (delayed),Glider deployment #74 - dal556 2017-06-05 (delayed),Glider deployment #25 - otn201 2013-09-16 (delayed),Glider deployment #80 - otn200 2017-12-16 (delayed),Glider deployment #50 - otn200 2015-09-10 (delayed),Glider deployment #93 - dal556 2018-10-23 (realtime),Glider deployment #29 - otn200 2014-01-16 (delayed),Glider deployment #57 - dal556 2016-03-17 (delayed),Glider deployment #109 - capex638 2019-09-04 (delayed),Glider deployment #35 - otn200 2014-08-28 (delayed),Glider deployment test #125 - otn200 2021-03-09 (realtime),Glider deployment #163 - scotia 2022-10-04 (realtime),Glider deployment #26 - otn200 2013-10-15 (delayed),Glider deployment #99 - fundy 2019-06-04 (delayed),Glider deployment #2 - otn200 2011-06-17 (delayed),Wave and SST for Sable Island South SPOT 1431,Glider deployment #116 - fundy 2020-09-05 (delayed),Glider deployment #41 - otn201 2014-11-28 (delayed),Glider deployment #158 - cabot 2022-07-27 (realtime),Glider deployment #179 - shad 2023-09-09 (realtime),Glider deployment #161 - otn200 2022-09-12 (realtime),Glider deployment test #180 - polly 2023-09-11 (delayed),Glider deployment #151 - peggy 2022-04-21 (realtime),Glider deployment #21 - otn200 2013-06-06 (delayed),Glider deployment #145 - fundy 2022-03-03 (realtime),Glider deployment #28 - otn200 2013-12-02 (delayed),Glider deployment #150 - scotia 2022-04-21 (realtime),Glider deployment #19 - otn200 2013-05-03 (delayed),Bedford Basin BOP Level 1,Glider deployment #73 - bond 2017-06-02 (delayed),Glider deployment #175 - fundy 2023-07-26 (realtime),Glider deployment test #113 - fundy 2020-06-18 (delayed),Glider deployment test #131 - sambro 2021-06-07 (realtime),Glider deployment #43 - otn201 2015-01-23 (delayed),Glider deployment #62 - otn200 2016-06-24 (delayed),Glider deployment #47 - otn200 2015-07-27 (delayed),Glider deployment #5 - otn200 2011-08-24 (delayed),Glider deployment #56 - dal556 2016-01-22 (delayed),Glider deployment #18 - otn200 2013-03-29 (delayed),Glider deployment #139 - otn200 2021-08-25 (realtime),Glider deployment #166 - qala2 2023-03-17 (realtime),Grand Banks Wave Buoy,Holyrood Buoy 2,Fortune Bay: Pool's Cove - POOLC,Mouth of Placentia Bay Buoy,XEOS HKB Buoy Wave Sensor,Head of Placentia Bay Buoy,"NEGL, Postville, Nunatsiavut (NLQU0001)",Placentia Bay: Ragged Islands - KLUMI,Placentia Bay: North Harbour - NHARB,Bonavista Bay Buoy,Halifax (Herring Cove) Buoy,St. John's Buoy,"NEGL, Black Tickle-Domino, NunatuKavut (NLQU0003)",Lewisporte Tide Station,Potash Terminal Tide and Meteorological Station,Pilot Boarding Station / Red Island Shoal Buoy,Holyrood Wharf Weather Station,"Shipissipan, Remote Automatic Weather Station (RAWS), Nitassinan",Bay of Islands Buoy,Manolis Buoy,Halifax Ocean Terminals: Pier 9C,Saint John Buoy,Halifax Ocean Terminals: Fairview,"NEGL, Red Bay, NunatuKavut (NLQU0005)",Channel-Port Aux Basques Tide Station,XEOS H1 Buoy Wave Sensor,XEOS HK4 Buoy Wave Sensor,Diamond Jubilee Cruise Ship Terminal Meteorological Station,"COVE Weather Station, IDARTM1",Corner Brook Tide Station,"NEGL, Rigolet, Nunatsiavut (NLQU0002)",Bay of Exploits Buoy,"NEGL, Cartwright Junction, Labrador (NLQU0004)","NEGL, North West River, Labrador (NLQU0007)",Fortune Bay Buoy,Channel-Port Aux Basques Buoy,Fortune Bay: Dog Island - DOGIS,Halifax Ocean Terminals: Pier 31,FORCE Acoustic Doppler Current Profiler (ADCP): Currents,Newfoundland and Labrador climate index,Glider deployment #158 - cabot 2022-07-27 (delayed),Glider deployment test #129 - cabot 2021-05-13 (delayed),Glider deployment #144 - qala1 2021-10-19 (delayed),"Daily Average Weather Data, Lord's Cove",Digby County Water Quality Data,Colchester County Water Quality Data,Inverness County Water Quality Data,Shelburne County Water Quality Data,Halifax County Water Quality Data,Guysborough County Water Quality Data,Queens County Water Quality Data,Cape Breton County Water Quality Data,Yarmouth County Water Quality Data,Pictou County Water Quality Data,Antigonish County Water Quality Data,Glider deployment #119 - cabot 2020-09-19 (delayed),Glider deployment #135 - cabot 2021-07-06 (delayed),Glider deployment #105 - Nemesis 2019-09-02 (delayed),Glider deployment #114 - cabot 2020-07-17 (delayed),Victoria County Water Quality Data,Lunenburg County Water Quality Data,Glider deployment #107 - scotia 2019-09-25 (delayed),Glider deployment #104 - bond 2019-08-28 (delayed),Richmond County Water Quality Data,Annapolis County Water Quality Data,Glider deployment #134 - sambro 2021-07-05 (delayed),Glider deployment #94 - otn200 2018-11-01 (delayed),Glider deployment #100 - scotia 2019-06-05 (delayed),Glider deployment #102 - bond 2019-07-24 (delayed),Glider deployment #120 - bond 2020-09-25 (delayed),Glider deployment #88 - otn200 2018-08-15 (delayed),Glider deployment #85 - dal556 2018-06-10 (delayed),Glider deployment #118 - otn200 2020-09-20 (delayed),Glider deployment #168 - shad 2023-06-01 (delayed),Glider deployment #155 - cabot 2022-06-03 (delayed),Glider deployment test #110 - cabot 2020-06-01 (delayed),Glider deployment test #127 - sambro 2021-04-19 (delayed),Glider deployment #95 - scotia 2018-11-13 (delayed),Glider deployment test #147 - qala2 2022-03-24 (delayed),Glider deployment #87 - scotia 2018-07-20 (delayed),Glider deployment #93 - dal556 2018-10-23 (delayed),Glider deployment test #125 - otn200 2021-03-09 (delayed),Glider deployment #163 - scotia 2022-10-04 (delayed),Glider deployment #136 - scotia 2021-07-19 (delayed),Glider deployment #161 - otn200 2022-09-12 (delayed),Glider deployment #151 - peggy 2022-04-21 (delayed),Glider deployment #145 - fundy 2022-03-03 (delayed),Glider deployment #150 - scotia 2022-04-21 (delayed),Glider deployment test #131 - sambro 2021-06-07 (delayed),Glider deployment #139 - otn200 2021-08-25 (delayed),Glider deployment #166 - qala2 2023-03-17 (delayed),"Marine Ecology Lab, Coastal intertidal environment temperatures",FORCE Acoustic Doppler Current Profiler (ADCP): Waves,Maritimes Region Historical RAPID Climate Change Program Moored Time Series Data,"Newfoundland and Labrador climate index, All Fields",Maritimes Region Atlantic Zone Monitoring Program (AZMP) Moored Time Series Data,Maritimes Region Historical Ocean Tracking Network (OTN) Project Moored Time Series Data,"Maritimes Region Cetacean Monitoring Program MicroCAT conductivity, temperature and pressure time series data",Maritimes Region Atlantic Zone Off-Shelf Monitoring Program (AZOMP) Moored Time Series Data,"10-Minute Average Weather Data, Lord's Cove","Newfoundland and Labrador climate index, Natural Signs",Maritimes Region Historical Coastal Moored Time Series Data,"2-Minute Sustained Wind Data, Lord's Cove",Maritimes Region Historical Offshore Moored Time Series Data
"MUN Glider Deployment: Nunkaysa, Pacific, 2012-08-18",100,40,83,100,40,83,83,83,40,76,83,83,40,83,83,83,83,83,10,93,83,16,16,40,40,16,40,40,40,13,13,13,40,40,40,40,40,40,40,40,40,13,13,16,16,10,16,16,40,13,16,16,10,10,10,10,40,40,40,40,26,40,40,40,40,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,40,33,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,33,40,40,40,40,40,40,40,36,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,0,40,40,40,10,20,20,20,16,16,20,16,16,20,20,20,40,40,40,40,16,20,40,40,16,20,40,40,40,40,40,40,40,40,40,40,40,26,40,40,40,40,40,40,40,40,40,40,40,40,40,40,10,10,13,0,13,13,13,13,10,0,13,10,13
Glider deployment #34 - otn200 2014-06-26 (delayed),21,100,21,21,84,21,21,21,49,21,21,21,82,21,21,21,21,21,5,21,21,7,7,77,38,7,75,82,77,7,7,7,78,38,84,54,63,54,56,52,52,7,7,7,7,5,7,7,100,7,7,7,5,5,5,5,91,45,77,50,45,100,56,54,52,54,52,82,84,54,49,45,84,47,5,49,54,91,52,100,56,59,78,52,77,84,54,100,43,50,52,77,49,43,49,54,54,100,84,82,84,78,54,54,45,54,61,52,77,77,78,75,54,54,50,52,82,54,45,49,61,54,78,50,40,84,50,54,54,70,61,100,52,77,54,52,100,64,54,63,64,84,5,56,78,54,50,57,52,49,61,54,77,54,61,5,50,54,56,54,78,59,100,84,54,61,59,50,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,0,61,57,56,5,10,10,10,8,8,10,8,8,10,10,10,57,56,91,56,8,10,57,50,8,10,59,77,57,49,73,50,71,78,57,61,54,50,59,56,59,70,78,54,57,56,54,56,54,59,78,56,5,5,7,0,7,7,7,7,5,0,7,5,7
"MUN Glider Deployment: Unit 048, Fortune Bay, 2012-03-05",100,48,100,100,48,100,100,100,48,92,100,100,48,100,100,100,100,100,12,92,100,20,20,48,48,20,48,48,48,16,16,16,48,48,48,48,48,48,48,48,48,16,16,20,20,12,20,20,48,16,20,20,12,12,12,12,48,48,48,48,32,48,48,48,48,48,48,48,48,48,48,48,48,48,12,48,48,48,48,48,48,48,48,48,48,48,48,48,40,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,40,48,48,48,48,48,48,48,44,48,48,48,48,48,48,48,48,48,12,48,48,48,48,48,48,48,48,48,48,48,48,12,48,48,48,48,48,48,48,48,48,48,48,48,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,12,12,12,12,12,0,48,48,48,12,24,24,24,20,20,24,20,20,24,24,24,48,48,48,48,20,24,48,48,20,24,48,48,48,48,48,48,48,48,48,48,48,32,48,48,48,48,48,48,48,48,48,48,48,48,48,48,12,12,16,0,16,16,16,16,12,0,16,12,16
"MUN Glider Deployment: Scidaana, Pacific, 2012-08-18",100,40,83,100,40,83,83,83,40,76,83,83,40,83,83,83,83,83,10,93,83,16,16,40,40,16,40,40,40,13,13,13,40,40,40,40,40,40,40,40,40,13,13,16,16,10,16,16,40,13,16,16,10,10,10,10,40,40,40,40,26,40,40,40,40,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,40,33,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,33,40,40,40,40,40,40,40,36,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,0,40,40,40,10,20,20,20,16,16,20,16,16,20,20,20,40,40,40,40,16,20,40,40,16,20,40,40,40,40,40,40,40,40,40,40,40,26,40,40,40,40,40,40,40,40,40,40,40,40,40,40,10,10,13,0,13,13,13,13,10,0,13,10,13
Glider deployment #11 - otn200 2012-05-02 (delayed),24,97,24,24,100,24,24,24,55,24,24,24,95,24,24,24,24,24,6,24,24,8,8,71,44,8,89,95,71,8,8,8,91,44,97,61,71,61,63,59,59,8,8,8,8,6,8,8,97,8,8,8,6,6,6,6,91,51,71,59,51,97,63,61,59,61,59,95,97,61,55,51,97,53,6,55,61,91,59,97,63,67,91,59,71,97,61,100,48,59,59,91,55,48,55,61,61,97,97,95,97,91,61,61,51,61,67,59,71,91,91,89,61,61,57,59,95,61,53,55,69,61,91,57,44,97,57,61,61,63,69,97,59,71,61,61,97,67,61,71,73,97,6,63,91,61,57,65,61,55,71,61,71,61,71,6,59,61,63,61,91,67,97,97,61,71,65,57,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,0,69,65,63,6,12,12,12,10,10,12,10,10,12,12,12,65,63,89,63,10,12,65,57,10,12,67,89,65,55,85,57,65,73,65,69,61,57,67,63,67,63,73,61,65,63,61,63,61,67,73,63,6,6,8,0,8,8,8,8,6,0,8,6,8
"MUN Glider Deployment: Pearldiver, Labrador Sea, 2019-12-04",96,46,96,96,46,100,100,100,46,88,100,100,46,100,100,100,100,100,11,88,100,19,19,46,46,19,46,46,46,15,15,15,46,46,46,46,46,46,46,46,46,15,15,19,19,11,19,19,46,15,19,19,11,11,11,11,46,46,46,46,30,46,46,46,46,46,46,46,46,46,46,46,46,46,11,46,46,46,46,46,46,46,46,46,46,46,46,46,38,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,38,46,46,46,46,46,46,46,42,46,46,46,46,46,46,46,46,46,11,46,46,46,46,46,46,46,46,46,46,46,46,11,46,46,46,46,46,46,46,46,46,46,46,46,11,11,11,11,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,11,11,11,11,11,0,46,46,46,11,23,23,23,19,19,23,19,19,23,23,23,46,46,46,46,19,23,46,46,19,23,46,46,46,46,46,46,46,46,46,46,46,30,46,46,46,46,46,46,46,46,46,46,46,46,46,46,11,11,15,0,15,15,15,15,11,0,15,11,15
"MUN Glider Deployment: Unit 473, Trinity Bay, 2016-08-16",83,40,83,83,40,86,100,86,40,76,100,86,40,100,86,86,100,86,10,76,86,16,16,40,40,16,40,40,40,13,13,13,40,40,40,40,40,40,40,40,40,13,13,16,16,10,16,16,40,13,16,16,10,10,10,10,40,40,40,40,26,40,40,40,40,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,40,33,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,33,40,40,40,40,40,40,40,36,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,0,40,40,40,10,20,20,20,16,16,20,16,16,20,20,20,40,40,40,40,16,20,40,40,16,20,40,40,40,40,40,40,40,40,40,40,40,26,40,40,40,40,40,40,40,40,40,40,40,40,40,40,10,10,13,0,13,13,13,13,10,0,13,10,13
"MUN Glider Deployment: Pearldiver, Labrador Shelf, 2014-07-05",96,46,96,96,46,100,100,100,46,88,100,100,46,100,100,100,100,100,11,88,100,19,19,46,46,19,46,46,46,15,15,15,46,46,46,46,46,46,46,46,46,15,15,19,19,11,19,19,46,15,19,19,11,11,11,11,46,46,46,46,30,46,46,46,46,46,46,46,46,46,46,46,46,46,11,46,46,46,46,46,46,46,46,46,46,46,46,46,38,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,38,46,46,46,46,46,46,46,42,46,46,46,46,46,46,46,46,46,11,46,46,46,46,46,46,46,46,46,46,46,46,11,46,46,46,46,46,46,46,46,46,46,46,46,11,11,11,11,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,11,11,11,11,11,11,11,11,11,11,11,11,0,46,46,46,11,23,23,23,19,19,23,19,19,23,23,23,46,46,46,46,19,23,46,46,19,23,46,46,46,46,46,46,46,46,46,46,46,30,46,46,46,46,46,46,46,46,46,46,46,46,46,46,11,11,15,0,15,15,15,15,11,0,15,11,15
Glider deployment #71 - dal556 2017-04-25 (delayed),40,93,40,40,90,40,40,40,100,40,40,40,90,40,40,40,40,40,10,40,40,13,13,93,73,13,83,96,93,13,13,13,90,73,90,96,93,90,93,93,93,13,13,13,13,10,13,13,93,13,13,13,10,10,10,10,83,90,93,86,66,93,96,93,93,83,93,90,90,96,93,90,90,90,10,96,93,83,93,93,100,90,90,93,93,90,93,100,86,90,83,83,93,86,83,90,90,93,90,90,90,90,96,93,90,96,93,96,93,83,90,83,83,83,90,90,96,90,86,83,96,90,90,96,70,90,96,90,96,86,100,93,93,93,100,86,93,93,96,93,90,90,10,96,90,96,90,100,80,83,90,96,93,96,90,10,90,96,96,93,90,96,93,90,96,90,93,83,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,0,96,90,93,10,20,20,20,16,16,20,16,16,20,20,20,93,93,93,96,16,20,93,93,16,20,93,100,93,90,90,100,90,93,90,96,90,73,96,83,96,93,93,83,93,86,83,90,86,93,93,83,10,10,13,0,13,13,13,13,10,0,13,10,13
"MUN Glider Deployment: Unit 334, Labrador Sea, 2014-07-22",100,52,100,100,52,100,100,100,52,100,100,100,52,100,100,100,100,100,13,100,100,21,21,52,52,21,52,52,52,17,17,17,52,52,52,52,52,52,52,52,52,17,17,21,21,13,21,21,52,17,21,21,13,13,13,13,52,52,52,52,34,52,52,52,52,52,52,52,52,52,52,52,52,52,13,52,52,52,52,52,52,52,52,52,52,52,52,52,43,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,43,52,52,52,52,52,52,52,47,52,52,52,52,52,52,52,52,52,13,52,52,52,52,52,52,52,52,52,52,52,52,13,52,52,52,52,52,52,52,52,52,52,52,52,13,13,13,13,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,13,13,13,13,13,13,0,52,52,52,13,26,26,26,21,21,26,21,21,26,26,26,52,52,52,52,21,26,52,52,21,26,52,52,52,52,52,52,52,52,52,52,52,34,52,52,52,52,52,52,52,52,52,52,52,52,52,52,13,13,17,0,17,17,17,17,13,0,17,13,17
"MUN Glider Deployment: Unit 473, Trinity Bay, 2018-09-05",83,40,83,83,40,86,100,86,40,76,100,86,40,100,86,86,100,86,10,76,86,16,16,40,40,16,40,40,40,13,13,13,40,40,40,40,40,40,40,40,40,13,13,16,16,10,16,16,40,13,16,16,10,10,10,10,40,40,40,40,26,40,40,40,40,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,40,33,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,33,40,40,40,40,40,40,40,36,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,10,40,40,40,40,40,40,40,40,40,40,40,40,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,10,10,10,10,10,10,10,10,10,0,40,40,40,10,20,20,20,16,16,20,16,16,20,20,20,40,40,40,40,16,20,40,40,16,20,40,40,40,40,40,40,40,40,40,40,40,26,40,40,40,40,40,40,40,40,40,40,40,40,40,40,10,10,13,0,13,13,13,13,10,0,13,10,13
